QUESTION_ID,TOPIC,SUBTOPIC,MOCK_APPEARANCE,BLUEBOOK_APPEARANEC,QUESTION_PROMPT
686b7244,ALGEBRA,Linear Equations 2 Variables,,,"A certain apprentice has enrolled in hours of training courses. The equation represents this situation, where is the number of on-site training courses and is the number of online training courses this apprentice has enrolled in. How many more hours does each online training course take than each on-site training course?"
686b7cad,ALGEBRA,Systems of Linear Equations,,,"A proposal for a new library was included on an election ballot. A radio show stated that times as many people voted in favor of the proposal as people who voted against it. A social media post reported that more people voted in favor of the proposal than voted against it. Based on these data, how many people voted against the proposal?"
68f2cbaf,ALGEBRA,Linear Inequalities,,BB9 LOWER,"Ty set a goal to walk at least kilometers every day to prepare for a multiday hike. On a certain day, Ty plans to walk at an average speed of kilometers per hour. What is the minimum number of hours Ty must walk on that day to fulfill the daily goal?"
6933b3d9,GEOM_TRIG,Right Angle Trigonometry,902D Upper,,"In triangle RST above, point W (not shown) lies on . What is the value of ?"
694b7fce,GEOM_TRIG,"Lines, Angles, Triangles",,BB5 UPPER,"In the figure shown,Ã‚ units, Ã‚ units, and units. What is the area, in square units, of triangle ?"
6989c80a,ALGEBRA,Linear Functions,,,"The function gives the temperature, in degrees Fahrenheit, that corresponds to a temperature of kelvins. If a temperature increased by kelvins, by how much did the temperature increase, in degrees Fahrenheit?"
69b0d79d,GEOM_TRIG,Circles,,,"Point O is the center of the circle above, and the measure of is . If the length of is 18, what is the length of arc ?"
69f4bbdc,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the right triangle shown, what is the value of ?"
69f609b2,ALGEBRA,Linear Equations 1 Variable,,BB5 UPPER,How many solutions does the equation have?
69f6717f,PSDA,Rates & Proportions,,,"A sample of oak has a density of Ã‚ kilograms per cubic meter. The sample is in the shape of a cube, where each edge has a length of Ã‚ meters. To the nearest whole number, what is the mass, in kilograms, of this sample?"
6a12efbb,ALGEBRA,Linear Equations 2 Variables,,,"The equationÃ‚ gives the perimeter of a rectangular rug that has length , in feet, and width , in feet. The width of the rug is feet. What is the length, in feet, of the rug?"
6a305cd0,PSDA,Sample Size & ME,1000D Upper,,"In a study, the data from a random sample of a population had a mean of 37, with an associated margin of error of 3. Which of the following is the most appropriate conclusion that can be made about the population mean?"
6a3fbec3,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure above, and . What is the length of ?"
6a715bed,PSDA,Probability,,,"The table summarizes the distribution of age and assigned group for participants in a study. Ã‚ Ã¢â‚¬â€œ years Ã¢â‚¬â€œ years years Total Group A Group B Group C Total One of these participants will be selected at random. What is the probability of selecting a participant from group A, given that the participant is at least years of age? (Express your answer as a decimal or fraction, not as a percent.)"
6a87902f,ALGEBRA,Systems of Linear Equations,,BB8 MEDIUM,At how many points do the graphs of the given equations intersect in the xy-plane?
6ab30ce3,GEOM_TRIG,Right Angle Trigonometry,,,"Triangle is similar to triangle , where corresponds to and corresponds to . Angles and are right angles. If and , what is the length ofÃ‚ ?"
6abec9a8,ADV_MATH,Nonlinear Functions,,,What is the -intercept of the graph shown?
6ac23de7,ALGEBRA,Linear Equations 1 Variable,,,"In the equation above, what is the value of x ?"
6bdcac03,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB6 MEDIUM,How many distinct real solutions does the given equation have?
6c5c2a81,ALGEBRA,Linear Functions,,BB5 UPPER,"For the linear function , the graph ofÃ‚Â  in the xy-plane passes through the pointsÃ‚Â  andÃ‚Â . Which equation defines ?"
6c71f3ec,ALGEBRA,Linear Inequalities,,,"A salespersonÃ¢â‚¬â„¢s total earnings consist of a base salary of dollars per year, plus commission earnings of of the total sales the salesperson makes during the year. This year, the salesperson has a goal for the total earnings to be at least times and at most times the base salary. Which of the following inequalities represents all possible values of total sales , in dollars, the salesperson can make this year in order to meet that goal?"
6c9444cd,PSDA,Data 1 Variable,,BB6 MEDIUM,The two box plots show the distribution of number of books read over the summer by the students in two different English classes. What is the positive difference between the ranges of number of books read over the summer for the two classes?
6ce95fc8,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,Which of the following is a solution to the equation above?
6d04c89d,ADV_MATH,Equivalent Expressions,,,"The expression is equivalent to , where b is a constant and . What is the value of b?"
6d99b141,GEOM_TRIG,"Lines, Angles, Triangles",902D Upper,,"In the figure, . The measure of angle isÃ‚ , and the measure of angle is . What is the value of ?"
6d9e01a2,ADV_MATH,Nonlinear Functions,,,The given equation defines the function . For what value of Ã‚ does reach its minimum?
6dd463ca,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure above, segments AE and BD are parallel. If angle BDC measures 58Ã‚Â° and angle ACE measures 62Ã‚Â°, what is the measure of angle CAE ?"
6e02cd78,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"In the xy-plane, what is the y-coordinate of the point of intersection of the graphs of and Ã‚ ?"
6e06a0a7,ADV_MATH,Equivalent Expressions,901D Lower,,Which of the following expressions is equivalent to Ã‚ ?
6e3ab4bf,PSDA,Data 1 Variable,,,"20 18 16 14 12 10 8 6 4 2 0 Number of volunteers A B C D Gift In April, there were volunteers in a cleanup project. Each volunteer was asked to choose a small gift labeled A, B, C, or D. The bar graph shows the number of volunteers who chose each gift. How many volunteers chose gift C?"
6e4a60dd,PSDA,Percentages,,,"RitaÃ¢â‚¬â„¢s total bill at a restaurant was $25.00, including tax. If she left a tip of 20% of the total bill, what was the amount of the tip?"
6e6a3241,ALGEBRA,Systems of Linear Equations,,,Which of the following graphs in the xy-plane could be used to solve the system of equations above?
6e7ae9fc,ADV_MATH,Nonlinear Functions,,BB6 UPPER,"The function is defined byÃ‚ . The value of is , where is a constant. What is the sum of all possible values of ?"
6ecdbcb4,ADV_MATH,Nonlinear Functions,,BB8 UPPER,The function is given. Which table of values represents ?
6efcc0a3,ALGEBRA,Linear Functions,,,"In the linear function ,Ã‚Â  andÃ‚Â . Which equation defines ?"
6f5540a5,ADV_MATH,Nonlinear Functions,902D Upper,,"Kao measured the temperature of a cup of hot chocolate placed in a room with a constant temperature of 70Ã‚ degrees Fahrenheit (Ã‚Â°F). The temperature of the hot chocolate was 185Ã‚Â°F at 6:00Ã‚ p.m. when it started cooling. The temperature of the hot chocolate was 156Ã‚Â°F at 6:05Ã‚ p.m. and 135Ã‚Â°F at 6:10Ã‚ p.m. The hot chocolateÃ¢â‚¬â„¢s temperature continued to decrease. Of the following functions, which best models the temperatureÃ‚ , in degrees Fahrenheit, of KaoÃ¢â‚¬â„¢s hot chocolate mÃ‚ minutes after it started cooling?"
6f6dfe3e,ALGEBRA,Linear Equations 2 Variables,,,"The table shows three values of and their corresponding values of , where is a constant, for the linear relationship between and . What is the slope of the line that represents this relationship in the xy-plane?"
6fa1dc0f,ALGEBRA,Linear Equations 2 Variables,,BB6 MEDIUM,Line in the xy-plane has a slope of and passes through the point . Which equation defines line ?
6fa593f1,ALGEBRA,Linear Equations 1 Variable,,,"If , what is the value of ?"
7028c74f,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,What is the sum of the solutions to the given equation?
7038b587,ALGEBRA,Linear Equations 2 Variables,,BB10 LOWER,"Vivian bought party hats and cupcakes for . Each package of party hats cost , and each cupcake cost . If Vivian bought packages of party hats, how many cupcakes did she buy?"
70482e20,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent to ?
70753f99,ADV_MATH,Nonlinear Functions,901D Upper,,The function f is defined by . The graph of f in the xy-plane is a parabola. Which of the following intervals contains the x-coordinate of the vertex of the graph of f ?
70774aa4,ALGEBRA,Linear Equations 1 Variable,,,"If , what is the value of ?"
707db2d3,PSDA,Percentages,,,"For the finale of a TV show, viewers could use either social media or a text message to vote for their favorite of two contestants. The contestant receiving more than 50% of the vote won. An estimated 10% of the viewers voted, and 30% of the votes were cast on social media. Contestant 2 earned 70% of the votes cast using social media and 40% of the votes cast using a text message. Based on this information, which of the following is an accurate conclusion?"
708590d7,PSDA,Data 1 Variable,,,Which of the following statements correctly compares the means of data set A and data set B?
709e04de,PSDA,Percentages,,,The value of is times . The value of is what percent greater than ?
